author,text,published_at,likes
@WendyWendy-x5k,Wow another fantastic thought provoking ad by John Lewis made me cry 😢,2025-11-05T08:30:29Z,0
@joebloggs2024,Normally these adverts don't resonate with me but this was very moving 😊,2025-11-05T08:21:31Z,0
@samseymour6897,Very Charlotte Wells - Aftersun dance scene to under pressure,2025-11-05T08:18:20Z,0
@superthierry1,Dad the raver  vs Gen Z... 😎 👍🏾,2025-11-05T08:03:41Z,0
@Always-Hustle,The left will hate this ad,2025-11-05T07:54:37Z,6
@eigrontopediax,Wow. I wish I can also bond with my dad like this. I'll be going home this Christmas for the first time after 7years so I'm excited.,2025-11-05T07:52:50Z,11
@DanS1,Brilliant advert ❤❤❤,2025-11-05T07:51:55Z,0
@TinaTurnip-o7o,Thank you John Lewis for making one of the best adverts ever. Tears in my eyes. Get this song back in the charts. Love it ❤❤❤❤,2025-11-05T07:50:48Z,36
@15rich20,Surely a rip off of the last dance scene in Aftersun.,2025-11-05T07:44:38Z,0
@meandyou4198,Well done John lewis 👏,2025-11-05T07:39:19Z,0
@markanderson5438,I'm not ashamed to say I did she'd a tear 😢,2025-11-05T07:37:56Z,0
@traceymillum1421,I’m in absolute tears 😭,2025-11-05T07:34:50Z,0
@Smoovindecat,Tune,2025-11-05T07:28:54Z,0
@JamesHodgson-s1h,Bonding with my son. They nailed it. I spent six months under section my son was there at my worst. Things a bit better now had Bipolar. Three year recovery 🎉well done John Lewis,2025-11-05T07:27:01Z,0
@rogerdoyle1198,Getting old when I'm the Dad in the John Lewis ad 😂,2025-11-05T07:21:56Z,0
@mickbeckett5136,"Brilliant ❤ proper tear jerker ❤I’m a 54 yrs young Male who loves Dance Music, I hope my Dance music loving 17 yr Old Daughter does the same for me this Christmas ❤",2025-11-05T07:12:03Z,0
@paulie7777777,I’m not getting it … is the kid deaf or what …,2025-11-05T07:10:50Z,0
@Markle_B,"Wow, a white family advert!",2025-11-05T07:10:26Z,1
@nikolkara7546,It's very Aftersun coded,2025-11-05T07:08:10Z,0
@laytonjames538,How on earth anyone can slander this advert is beyond me. Tell me people are downgrading without actually telling me.  Beautiful message and very well executed,2025-11-05T07:01:53Z,1
@johngreenwood62,"No politics, just love and family. Nailed it.",2025-11-05T06:53:36Z,0
@NostalgiaNintendo,Vote Green,2025-11-05T06:53:14Z,0
@davidsunderland3005,Where's the black character?,2025-11-05T06:36:36Z,0
@dvorster5646,"Very emotional,a beautiful ad!❤",2025-11-05T06:18:40Z,0
@jamesbradley7227,❤,2025-11-05T06:13:20Z,0
@paulr6359,any dad in their 50 s can relate.... and wasnt even that long ago. If kids could see the 90s theyd realise how badly theyve been let down. Merryxmas,2025-11-05T06:09:56Z,201
@wtf-k5i,"YESSSSSSSSSSSSS   No box ticking DEI ,Trans etc etc BS",2025-11-05T05:47:39Z,0
@MichelleVarley-s7e,😢😢😢 love it,2025-11-05T05:29:11Z,0
@johncomerford6229,Beautiful real ! No Politics ! No Alphabet Gang !,2025-11-05T03:46:03Z,0
@DigitalLazarus,😢💝,2025-11-05T03:42:22Z,0
@hp4395,"The best ad I have seen in years, get to the real soul of Christmas❤. Just beautiful",2025-11-05T03:30:43Z,0
@Scarlet_Soul,Honestly I thought this was going to be an advert for Alzheimer's awareness after first seeing it on the TV.,2025-11-05T03:23:05Z,1
@Missing-g3s,"Now that's a great F,king advert and I hate adverts.",2025-11-05T02:12:05Z,1
@deephouse733,They just had to have some mystery meat butchering it as well,2025-11-05T02:02:51Z,0
@deephouse733,Oh I’m sure the guardianistas will love this cringe boomer fest,2025-11-05T02:01:02Z,1
@RawwUnderGround,Looooool,2025-11-05T01:55:37Z,0
@TheBuzzer69,Brilliant! Made me cry ❤,2025-11-05T01:01:49Z,1
@C.Hughes-Lloyd,Pretty poor. 👎,2025-11-05T00:48:02Z,3
@Gary-p4u8j,After not being around my son adam for 16 yrs and not my choice or fault or blame x it just ended up that way ok  x so i had to stop being his dad x this smashed me into planet earth and i was left to cope alone  x this advert reminded me of Adam so much x  and it made me cry which i dont really do as it destroys me emotionally x cause i cant think of him anymore as much as its upsetting for me cause of how we were together x i do have a picture of us when i last saw him age 2 x i miss adam every Christmas x thank you so much john lewis for reminding me of adam x,2025-11-05T00:45:11Z,0
@suncity22001,unwoke and naturally real. It couldn’t help but to be great.,2025-11-05T00:38:46Z,1
@mikeywaite5564,I don't get it.,2025-11-05T00:09:38Z,2
@Tashaditzy,Great advert,2025-11-05T00:08:20Z,1
@neillamin6150,As a father who is struggling to build a relationship with his teenage daughters this advert resonates exactly what I’m going through… I don’t need to comment any further,2025-11-04T23:56:36Z,1
@TinkSivyer,I am NEEDING the slower version of this song. Shazam is not doing it. Perhaps they produced it special for this advert--but where can I find the whole thing?!?!,2025-11-04T23:54:43Z,0
