author,text,published_at,likes,clean_text
@Gamegodz76,That’s me shopping in John Lewis this year as a thank you.,2025-11-06 13:04:53+00:00,0,that’s me shopping in john lewis this year as a thank you.
@CassHoskins,"I might not be a dad, but my son buys me vinyl almost every year for Christmas and I love it - it's show so much thought for his old GenX mum! This advert had me in tears!",2025-11-06 12:51:07+00:00,1,"i might not be a dad, but my son buys me vinyl almost every year for christmas and i love it - it's show so much thought for his old genx mum! this advert had me in tears!"
@EtherealSunset,Well done John Lewis for a wonderful Christmas advert that brought tears to my eyes.,2025-11-06 12:30:59+00:00,0,well done john lewis for a wonderful christmas advert that brought tears to my eyes.
@KiNgLeOnIDaStHeGrEaT,"Dads finally recieving the appreciation we were all due. What an advert, nostalgia, the past and the future. Responsibility! As a father our duty is to protect, it's what gives us meaning!",2025-11-06 12:26:17+00:00,6,"dads finally recieving the appreciation we were all due. what an advert, nostalgia, the past and the future. responsibility! as a father our duty is to protect, it's what gives us meaning!"
@tommills7033,Powerful emotional just brilliant!,2025-11-06 12:21:34+00:00,0,powerful emotional just brilliant!
@taylormartyn,Well done John Lewis.,2025-11-06 12:09:00+00:00,0,well done john lewis.
@macchiatomachiato,at last a decent Christmas advert!!!,2025-11-06 12:04:12+00:00,1,at last a decent christmas advert!!!
@jasonhenderson1881,This wasn't sad at all,2025-11-06 11:28:59+00:00,0,this wasn't sad at all
@unclesnakehips6810,"Dad of a wee boy who's just turned 2 here, John Lewis adverts never really got to me before, but this one has me sobbing every time I try to watch",2025-11-06 11:25:40+00:00,0,"dad of a wee boy who's just turned 2 here, john lewis adverts never really got to me before, but this one has me sobbing every time i try to watch"
@MichelleGreenwood-bt8qu,Absolutely love love this.  Brought a tears to my eyea,2025-11-06 11:24:18+00:00,0,absolutely love love this. brought a tears to my eyea
@esthermarcen7587,"That is xmas, thinking about others, love and respect between generations, love the add.",2025-11-06 11:16:02+00:00,1,"that is xmas, thinking about others, love and respect between generations, love the add."
@jsteere9222,Love it love it love it the look of real family Christmas NOT HOLIDAY SEASON.,2025-11-06 11:03:42+00:00,1,love it love it love it the look of real family christmas not holiday season.
@andrewgarley1400,"Oh man, got me, heavy tears x",2025-11-06 10:48:26+00:00,0,"oh man, got me, heavy tears x"
@davidmcclatchey2133,Absolutely brilliant advert. It hit so many areas and seasons in life.,2025-11-06 10:46:53+00:00,0,absolutely brilliant advert. it hit so many areas and seasons in life.
@BennBanes99,Here for the comments ❤❤❤,2025-11-06 10:43:23+00:00,0,here for the comments
@BennBanes99,"Cannot lie. The tears came down my face, my aging fatherly face. As a Gen Xer, had ky djing days in the bars and clubs for a few years. Music has always been important to me. Now i get to hear my lad learning and playing his guitar... Fills my heart right up. Music will unite us all ...",2025-11-06 10:43:14+00:00,1,"cannot lie. the tears came down my face, my aging fatherly face. as a gen xer, had ky djing days in the bars and clubs for a few years. music has always been important to me. now i get to hear my lad learning and playing his guitar... fills my heart right up. music will unite us all ..."
@johnparker8270,"If it ain’t the sound factory mix then you have been bumped, just saying…",2025-11-06 10:41:38+00:00,0,"if it ain’t the sound factory mix then you have been bumped, just saying…"
@EmmaTH1998,"Excuse me while I pop off and find a tissue! Great ad, positive masculinity between a father and son 💙🎄🎅🏼🥂",2025-11-06 10:37:36+00:00,0,"excuse me while i pop off and find a tissue! great ad, positive masculinity between a father and son 🥂"
@justwilly6778,John Lewis hits a home run right from the start!  Definitely my contender for 2025 best xmas advert.,2025-11-06 10:30:25+00:00,1,john lewis hits a home run right from the start! definitely my contender for 2025 best xmas advert.
@Othersider93,"An English home, yt family and two males bonding? I am beyond shocked.",2025-11-06 10:28:19+00:00,1,"an english home, yt family and two males bonding? i am beyond shocked."
@michael5637,"As a new dad, it's great to see us represented!",2025-11-06 10:14:43+00:00,0,"as a new dad, it's great to see us represented!"
@shaunpcd,"Wow finally an ad about a father and son. It has been so long since we have seen a positive depiction of a loving father and his son, it brought a tear to my eyes. 
It's about time men are shown like this, in a positive way. We see it in ads all the time with mothers and daughter and somewhere along the way fathers and sons were pushed out in favour of the women.",2025-11-06 10:01:38+00:00,1,"wow finally an ad about a father and son. it has been so long since we have seen a positive depiction of a loving father and his son, it brought a tear to my eyes. it's about time men are shown like this, in a positive way. we see it in ads all the time with mothers and daughter and somewhere along the way fathers and sons were pushed out in favour of the women."
@doglifehub,Finally - a normal advert!,2025-11-06 09:56:05+00:00,1,finally - a normal advert!
@rbgsounds1,Great advert 🥹,2025-11-06 09:55:18+00:00,0,great advert 🥹
@SWORLD1991,Someone got a bit inspired by Aftersun here...,2025-11-06 09:44:52+00:00,0,someone got a bit inspired by aftersun here...
@7quidstudio,It's wonderful,2025-11-06 09:43:18+00:00,0,it's wonderful
@tingliasmr,That tune got me right away and then the transition looking at the Father/Son relationship just finished me off! Bravo John Lewis! Sending big love from a 54 year old Essex gal in Spain reliving that tune and loving the vibes! x,2025-11-06 09:40:48+00:00,1,that tune got me right away and then the transition looking at the father/son relationship just finished me off! bravo john lewis! sending big love from a 54 year old essex gal in spain reliving that tune and loving the vibes! x
@Deacan-t8u,Thanks john lewis.,2025-11-06 09:32:03+00:00,0,thanks john lewis.
@SuperSledgePsycho,"As a father of two boys, one not far off his teenage years, this hit me in the chest a bit. What a cracking advertisement by JL. Thank you John Lewis.

Such a simple ad but will no doubt be one of my most memorable.",2025-11-06 09:27:43+00:00,1,"as a father of two boys, one not far off his teenage years, this hit me in the chest a bit. what a cracking advertisement by jl. thank you john lewis. such a simple ad but will no doubt be one of my most memorable."
@darylkane8,John Lewis take a bow brilliant 👌🏻👌🏻👌🏻,2025-11-06 09:27:30+00:00,0,john lewis take a bow brilliant
@EddieHowgate,Welcome back John Lewis!,2025-11-06 09:18:06+00:00,0,welcome back john lewis!
@helenport1631,"Don't care what anyone says, I absolutely loved it..... Still a tear jerker. Well done once again John Lewis, brilliant.",2025-11-06 09:15:57+00:00,0,"don't care what anyone says, i absolutely loved it..... still a tear jerker. well done once again john lewis, brilliant."
@billdoor1569,"John Lewis is getting my business this year, well done.",2025-11-06 09:15:30+00:00,0,"john lewis is getting my business this year, well done."
@OneSwitch,Nice.,2025-11-06 09:13:38+00:00,0,nice.
@leemurray7079,The Businesses ❤,2025-11-06 09:09:23+00:00,0,the businesses
@CosmicBrain21,Excellent job John Lewis! It’s nice to finally see a normal family represented and especially a father!,2025-11-06 09:05:33+00:00,0,excellent job john lewis! it’s nice to finally see a normal family represented and especially a father!
@markconnell,He needs to go to mucky weekender 😄,2025-11-06 09:03:21+00:00,0,he needs to go to mucky weekender
@alexmackenzie4913,Christmas and holding my baby son...2 amazing memories brought back to me...well made ad John Lewis...,2025-11-06 08:55:50+00:00,0,christmas and holding my baby son...2 amazing memories brought back to me...well made ad john lewis...
@sarahchapman7863,Amazing message in this advert that had me in floods of tears 😭 - all we need is love.,2025-11-06 08:51:35+00:00,0,amazing message in this advert that had me in floods of tears - all we need is love.
@thereadyroom,John Lewis - We ain’t going broke…,2025-11-06 08:37:36+00:00,0,john lewis - we ain’t going broke…
@tykotate9346,What a lovely advert. Very moving and tender. And it feels real - not like it's trying hard to be something else - just simple and real.,2025-11-06 08:19:45+00:00,0,what a lovely advert. very moving and tender. and it feels real - not like it's trying hard to be something else - just simple and real.
@GDH1981,"Oh blimey, that got me!",2025-11-06 07:58:32+00:00,0,"oh blimey, that got me!"
@Bill-uf6os,Guardian won't like it but what a great advert.,2025-11-06 07:49:50+00:00,48,guardian won't like it but what a great advert.
@marknich1577,"Great ad, well done john lewis 👏 👍",2025-11-06 07:34:45+00:00,0,"great ad, well done john lewis"
@dotexe55games31,The best Christmas ad In years..fin,2025-11-06 07:12:21+00:00,0,the best christmas ad in years..fin
@djpj9174,"Thank you John Lewis. Real family, real music, real love. The perfect Christmas ad and not an once of wokery box ticking in sight. BRAVO, take a bow!",2025-11-06 06:53:00+00:00,0,"thank you john lewis. real family, real music, real love. the perfect christmas ad and not an once of wokery box ticking in sight. bravo, take a bow!"
@Blockafellas,Just so sad that the family in this advert can't afford to put any food on the table as the far-left have destroyed the economy as usual.,2025-11-06 06:24:34+00:00,1,just so sad that the family in this advert can't afford to put any food on the table as the far-left have destroyed the economy as usual.
@Sean-n2m,They Get If !!!,2025-11-06 06:15:39+00:00,0,they get if !!!
@Jimmyfashion_london,Was expecting to see some nonsense but surprisingly moved by a great advert! Well done John Lewis.,2025-11-06 05:46:26+00:00,0,was expecting to see some nonsense but surprisingly moved by a great advert! well done john lewis.
@GuyverFrancis-jh6lm,"finally, and advert representing the majority of british households",2025-11-06 05:21:23+00:00,0,"finally, and advert representing the majority of british households"
